0 37.982386 35.134449 37.866256
1 37.982386 35.134363 37.864658
2 37.87477 35.13419 36.426899
3 37.070693 35.134607 36.661975
4 37.807375 35.135051 37.60653
5 36.888078 35.069322 37.645672
6 37.04053 35.069366 37.849269
7 37.886616 35.06951 36.599157
8 37.049815 35.069323 37.687567
9 37.982386 35.069265 37.755054
10 37.979257 35.134334 37.864547
11 37.812691 35.069654 37.750708
12 37.862272 35.069539 37.619632
13 37.98232 35.069711 37.865345
14 37.968129 35.069164 37.752472
15 37.811947 35.069409 37.754118
16 37.956908 35.134694 37.810559
